Epoch: [0][2380/2639], lr: 0.02000	Time 0.541 (0.567)	Data 0.000 (0.007)	Loss 3.8740 (4.6060)	Prec@1 7.812 (6.051)	Prec@5 39.062 (19.047)
Epoch: [0][2400/2639], lr: 0.02000	Time 0.543 (0.566)	Data 0.000 (0.007)	Loss 3.8751 (4.6006)	Prec@1 18.750 (6.124)	Prec@5 40.625 (19.183)
Epoch: [0][2420/2639], lr: 0.02000	Time 0.541 (0.566)	Data 0.000 (0.007)	Loss 4.1848 (4.5952)	Prec@1 17.188 (6.185)	Prec@5 29.688 (19.315)
Epoch: [0][2440/2639], lr: 0.02000	Time 0.544 (0.566)	Data 0.000 (0.007)	Loss 3.9073 (4.5895)	Prec@1 7.812 (6.256)	Prec@5 35.938 (19.469)
Epoch: [0][2460/2639], lr: 0.02000	Time 0.543 (0.566)	Data 0.000 (0.006)	Loss 4.1202 (4.5840)	Prec@1 15.625 (6.338)	Prec@5 32.812 (19.624)
Epoch: [0][2480/2639], lr: 0.02000	Time 0.543 (0.566)	Data 0.000 (0.006)	Loss 3.9013 (4.5777)	Prec@1 17.188 (6.431)	Prec@5 43.750 (19.786)
Epoch: [0][2500/2639], lr: 0.02000	Time 0.544 (0.566)	Data 0.000 (0.006)	Loss 3.9826 (4.5720)	Prec@1 15.625 (6.517)	Prec@5 31.250 (19.945)
Epoch: [0][2520/2639], lr: 0.02000	Time 0.567 (0.566)	Data 0.000 (0.006)	Loss 3.7265 (4.5670)	Prec@1 18.750 (6.587)	Prec@5 43.750 (20.073)
Epoch: [0][2540/2639], lr: 0.02000	Time 0.543 (0.566)	Data 0.000 (0.006)	Loss 3.9227 (4.5616)	Prec@1 12.500 (6.668)	Prec@5 28.125 (20.213)
Epoch: [0][2560/2639], lr: 0.02000	Time 0.553 (0.566)	Data 0.000 (0.006)	Loss 3.8856 (4.5559)	Prec@1 20.312 (6.750)	Prec@5 35.938 (20.359)
Epoch: [0][2580/2639], lr: 0.02000	Time 0.542 (0.565)	Data 0.000 (0.006)	Loss 3.9890 (4.5500)	Prec@1 20.312 (6.846)	Prec@5 42.188 (20.503)
Epoch: [0][2600/2639], lr: 0.02000	Time 0.581 (0.565)	Data 0.000 (0.006)	Loss 4.2082 (4.5443)	Prec@1 9.375 (6.928)	Prec@5 35.938 (20.640)
Epoch: [0][2620/2639], lr: 0.02000	Time 0.542 (0.565)	Data 0.000 (0.006)	Loss 3.5204 (4.5388)	Prec@1 18.750 (7.009)	Prec@5 51.562 (20.786)
Test: [0/388]	Time 6.690 (6.690)	Loss 3.5939 (3.5939)	Prec@1 23.438 (23.438)	Prec@5 48.438 (48.438)
Test: [20/388]	Time 0.141 (0.546)	Loss 3.8986 (3.8867)	Prec@1 17.188 (14.211)	Prec@5 37.500 (37.798)
Test: [40/388]	Time 0.141 (0.414)	Loss 3.8541 (3.8475)	Prec@1 17.188 (15.625)	Prec@5 42.188 (38.681)
Test: [60/388]	Time 0.141 (0.367)	Loss 4.0876 (3.8808)	Prec@1 9.375 (14.728)	Prec@5 31.250 (37.910)
Test: [80/388]	Time 0.195 (0.329)	Loss 4.0584 (3.8874)	Prec@1 18.750 (15.336)	Prec@5 34.375 (37.886)
Test: [100/388]	Time 0.150 (0.430)	Loss 4.0858 (3.8921)	Prec@1 10.938 (15.099)	Prec@5 35.938 (37.686)
Test: [120/388]	Time 0.141 (0.388)	Loss 3.6897 (3.8961)	Prec@1 12.500 (14.941)	Prec@5 43.750 (37.526)
Test: [140/388]	Time 0.179 (0.369)	Loss 3.7318 (3.8903)	Prec@1 14.062 (15.171)	Prec@5 37.500 (37.644)
Test: [160/388]	Time 0.188 (0.355)	Loss 3.7658 (3.8837)	Prec@1 17.188 (15.411)	Prec@5 42.188 (37.898)
Test: [180/388]	Time 1.112 (0.356)	Loss 3.5398 (3.8743)	Prec@1 20.312 (15.461)	Prec@5 40.625 (38.027)
Test: [200/388]	Time 0.140 (0.345)	Loss 4.1306 (3.8755)	Prec@1 20.312 (15.578)	Prec@5 35.938 (37.928)
Test: [220/388]	Time 0.196 (0.340)	Loss 4.3178 (3.8788)	Prec@1 12.500 (15.533)	Prec@5 23.438 (37.825)
Test: [240/388]	Time 0.140 (0.331)	Loss 4.1846 (3.8795)	Prec@1 10.938 (15.580)	Prec@5 34.375 (37.889)
Test: [260/388]	Time 1.756 (0.373)	Loss 3.7493 (3.8859)	Prec@1 21.875 (15.499)	Prec@5 39.062 (37.650)
Test: [280/388]	Time 0.159 (0.365)	Loss 4.0751 (3.8896)	Prec@1 20.312 (15.425)	Prec@5 32.812 (37.561)
Test: [300/388]	Time 0.237 (0.358)	Loss 3.9137 (3.8888)	Prec@1 10.938 (15.449)	Prec@5 35.938 (37.661)
Test: [320/388]	Time 0.193 (0.352)	Loss 3.8636 (3.8882)	Prec@1 15.625 (15.450)	Prec@5 35.938 (37.734)
